0.33058,8,7
0.31288,12,11
0.29105,16,15
0.26345,20,19
0.22746,24,23
0.17854,28,27
0.10822,32,31
0.026313,36,35
0.057622,40,39
0.1495,44,43
0.23363,48,47
0.29317,52,51
0.31683,56,55
0.0466,59,58
0.17275,63,62
0.2509,67,66
0.30312,71,70
0.056612,74,73
0.21649,78,77
0.29585,82,81
0.07838,85,84
0.24565,89,88
0.10317,92,91
0.19948,96,95
0.21017,99,98
0.17461,103,102
0.23123,106,105
0.18316,110,109
0.16939,113,112
0.21935,117,116
0.045198,120,119
0.25444,124,123
0.069366,127,126
0.28114,131,130
0.14447,134,133
0.23667,137,136
0.19613,141,140
0.11868,144,143
0.23609,148,147
0.033766,151,150
0.28164,155,154
0.17786,158,157
0.07254,161,160
0.27225,165,164
0.1832,168,167
0.00018901,171,170
0.27058,174,173
0.24407,178,177
0.1639,181,180
0.027769,184,183
0.16669,187,186
0.34472,190,189
0.24853,194,193
0.20644,197,196
0.15577,200,199
0.095348,203,202
0.024732,206,205
0.049126,209,208
0.075168,212,211
0.039524,215,214
0.048851,218,217
0.1441,221,220
0.59516,223,222
0.34521,226,225
0.049076,229,228
0.18383,232,231
0.32414,234,233
0.082314,237,236
0.43828,239,238
0.053422,242,241
0.40563,244,243
0.11805,247,246
0.25871,249,248
0.64852,251,250
0.015397,254,253
0.35863,256,255
0.68021,258,257
0.018561,261,260
0.25942,263,262
0.51807,265,264
0.75714,267,266
0.021833,270,269
0.17765,272,271
0.34897,274,273
0.47382,276,275
0.55489,278,277
0.5947,280,279
0.59557,282,281
0.55964,284,283
0.48891,286,285
0.38523,288,287
0.25031,290,289
0.085771,292,291
0.89219,293,292
0.67098,295,294
0.42418,297,296
0.15305,299,298
0.85762,300,299
0.53875,302,301
0.19872,304,303
0.83727,305,304
0.45494,307,306
0.057214,309,308
0.64652,310,309
0.22454,312,311
0.79089,313,312
0.34576,315,314
0.89,316,315
0.42276,318,317
0.94569,319,318
0.45733,321,320
0.9597,322,321
0.45116,324,323
0.9337,325,324
0.40584,327,326
0.86924,328,327
0.3229,330,329
0.76782,331,330
0.20378,333,332
0.63083,334,333
0.049846,336,335
0.45638,337,336
0.84283,338,337
0.20757,340,339
0.55207,341,340
0.87865,342,341
0.18592,344,343
0.47533,345,344
0.74868,346,345
0.0063695,348,347
0.24661,349,348
0.47237,350,349
0.68407,351,350
0.88212,352,351
0.066264,354,353
0.23655,355,354
0.39446,356,355
0.54031,357,356
0.67445,358,357
0.79719,359,358
0.90883,360,359
0.0095859,362,361
0.099121,363,362
0.17851,364,363
0.24802,365,364
0.30789,366,365
0.35838,367,366
0.3997,368,367
0.4321,369,368
0.45578,370,369
0.47097,371,370
0.47929,372,371
0.48247,373,372
0.4806,374,373
0.47373,375,374
0.46196,376,375
0.44535,377,376
0.42397,378,377
0.3979,379,378
0.3672,380,379
0.33194,381,380
0.29219,382,381
0.24801,383,382
0.19946,384,383
0.14661,385,384
0.089519,386,385
0.028246,387,386
0.96268,387,386
0.89289,388,387
0.81908,389,388
0.74131,390,389
0.65962,391,390
0.57407,392,391
0.48472,393,392
0.39161,394,393
0.29481,395,394
0.19435,396,395
0.090291,397,396
0.9826,397,396
0.87098,398,397
0.7559,399,398
0.63738,400,399
0.51406,401,400
0.38536,402,401
0.2514,403,402
0.11228,404,403
0.96789,404,403
0.81774,405,404
0.66273,406,405
0.50297,407,406
0.33854,408,407
0.16956,409,408
0.99607,409,408
0.81703,410,409
0.63368,411,410
0.4461,412,411
0.2544,413,412
0.058632,414,413
0.85796,414,413
0.653,415,414
0.44421,416,415
0.23165,417,416
0.015418,418,417
0.79426,418,417
0.56945,419,418
0.34116,420,419
0.10945,421,420
0.8736,421,420
0.63376,422,421
0.39069,423,422
0.14445,424,423
0.89445,424,423
0.6405,425,424
0.38355,426,425
0.12365,427,426
0.86002,427,426
0.59279,428,427
0.32278,429,428
0.050028,430,429
0.77325,430,429
0.49353,431,430
0.21122,432,431
0.92594,432,431
0.6369,433,432
0.34542,434,433
0.051522,435,434
0.75384,435,434
0.45515,436,435
0.15556,437,436
0.85476,437,436
0.55274,438,437
0.24983,439,438
0.94594,439,438
0.64063,440,439
0.33447,441,440
0.02745,442,441
0.71897,442,441
0.40959,443,442
0.099378,444,443
0.78787,444,443
0.47533,445,444
0.16197,446,445
0.84746,446,445
0.5318,447,446
0.21534,448,447
0.89786,448,447
0.57913,449,448
0.25962,450,449
0.93919,450,449
0.61743,451,450
0.29491,452,451
0.97157,452,451
0.64683,453,452
0.32134,454,453
0.9951,454,453
0.66743,455,454
0.33902,456,455
0.0098854,457,456
0.67934,457,456
0.34806,458,457
0.016065,459,458
0.68269,459,458
0.34857,460,459
0.013755,461,460
0.67757,461,460
0.34066,462,461
0.0030653,463,462
0.66409,463,462
0.32443,464,463
0.98407,464,463
0.64083,465,464
0.2962,466,465
0.94998,466,465
0.60109,467,466
0.25086,468,467
0.89888,468,467
0.5445,469,468
0.18885,470,469
0.83121,470,469
0.47152,471,470
0.11061,472,471
0.74741,472,471
0.38256,473,472
0.016546,474,473
0.64789,474,473
0.27803,475,474
0.90668,475,474
0.53304,476,475
0.15834,477,476
0.78165,477,476
0.40326,478,477
0.023852,479,478
0.64193,479,478
0.25893,480,479
0.87443,480,479
0.48788,481,480
0.1004,482,481
0.71079,482,481
0.31985,483,482
0.92772,483,482
0.53339,484,483
0.13819,485,484
0.74108,485,484
0.34257,486,485
0.943,486,485
0.54122,487,486
0.13865,488,487
0.73422,488,487
0.32846,489,488
0.92163,489,488
